순서,설치기관명,설치기관 주소,관할보건소,설치장소 주소,설치위치
170,군산시보건소,전라북도 군산시 나포면 옥곤리 452,군산시보건소,전라북도 군산시 나포면 옥곤리 452,나포면보건지소 대기실
171,군산시보건소,전라북도 군산시 나포면 옥곤리 452,군산시보건소,전라북도 군산시 개정면 발산리 461-2,개정면보건지소 대기실
172,군산시보건소,전라북도 군산시 나포면 옥곤리 452,군산시보건소,전라북도 군산시 임피면 읍내리 216-1,임피면보건지소 대기실
173,군산시보건소,"전라북도 군산시 나포면 철새로 985, 원나포보건진료소",군산시보건소,전라북도 군산시 나포면 나포리 643,원나포보건진료소 건강증진실
174,주식회사월드마린,전라북도 군산시 내항1길 12 (장미동),군산시보건소,전라북도 군산시 임해로 440 신역무선 부두(선박 내) (소룡동),윤스7호 SALOON(직원 대기장소)
175,(유)신양해운,전라북도 군산시 내항2길 105 (장미동),군산시보건소,전라북도 군산시 내항2길 105 (장미동),신양5호
176,(유)신양해운,전라북도 군산시 내항2길 105 (장미동),군산시보건소,전라북도 군산시 내항2길 105 (장미동),신양6호
177,군산시옥도면사무소,전라북도 군산시 내항2길 125 (금동),군산시보건소,전라북도 군산시 내항2길 125 (금동),전북503호(행정선) 내 선원실
178,(주)월명유람선,전라북도 군산시 내항2길 143 (금동),군산시보건소,전라북도 군산시 비응로 6 (비응도동),진달래호
179,(주)월명유람선,전라북도 군산시 내항2길 143 (금동),군산시보건소,전라북도 군산시 비응로 6 (비응도동),카네이션호
180,(주)월명유람선,전라북도 군산시 내항2길 143 (금동),군산시보건소,전라북도 군산시 비응로 6 (비응도동),코스모스호
181,(주)월명유람선,전라북도 군산시 내항2길 143 (금동),군산시보건소,전라북도 군산시 비응로 6 (비응도동),로얄퀸호
182,(주)남강,전라북도 군산시 내항2길 312 연구가공동 302호(수산물연구가공거점단지) (해망동),군산시보건소,전라북도 군산시 내항2길 312 (해망동),군산101호
183,한국어촌어항협회,전라북도 군산시 내항2길 32 1층 한국어촌어항협회 (장미동),군산시보건소,전라북도 군산시 내항2길 32 1층 한국어촌어향협회 (장미동),어항서해3호(선박 내)
184,현대메트로타워아파트,전라북도 군산시 대명길 3,군산시보건소,전라북도 군산시 대명길 3,정문 경비실
185,이기용,"전라북도 군산시 대명길 3 102동 2704호 (대명동, 현대메트로타워)",군산시보건소,"전라북도 군산시 대명길 3 102동 2704호 (대명동, 현대메트로타워)",주연호 선원실
186,이기용,"전라북도 군산시 대명길 3 102동 2704호 (대명동, 현대메트로타워)",군산시보건소,"전라북도 군산시 대명길 3 102동 2704호 (대명동, 현대메트로타워)",제남화1호 선원실
187,군산시보건소,"전라북도 군산시 대야면 대광길 32-2, 대광 보건진료소, 경로당",군산시보건소,"전라북도 군산시 대야면 대광길 32-2, 대광 보건진료소, 경로당",대광보건진료소 건강증진실
188,군산시보건소대차보건진료소,"전라북도 군산시 대야면 대차길 9, 대차보건소",군산시보건소,"전라북도 군산시 대야면 대차길 9, 대차보건소",대차보건진료소 대기실
189,202두진호,전라북도 군산시 대야면 덕봉2길 66-10,군산시보건소,전라북도 군산시 대야면 덕봉2길 66-10,202두진호 조타실
190,군산시보건소,전라북도 군산시 대야면 지경리 778-2,군산시보건소,전라북도 군산시 대야면 지경리 778-2,대야면보건지소 대기실
191,군산제일요양병원,"전라북도 군산시 대학로 183, 군산제일병원 (문화동)",군산시보건소,"전라북도 군산시 대학로 183, 군산제일병원 (문화동)",구급차
192,군산제일요양병원,"전라북도 군산시 대학로 183, 군산제일병원 (문화동)",군산시보건소,"전라북도 군산시 대학로 183, 군산제일병원 (문화동)",1층 로비
193,정다운병원,"전라북도 군산시 대학로 236, 정다운병원 (나운동)",군산시보건소,"전라북도 군산시 대학로 236, 정다운병원 (나운동)",구급차
194,솔로몬에너지(주),전라북도 군산시 대학로 342 1421호 (나운동),군산시보건소,전라북도 군산시 대학로 342 (나운동),제2협동호 기관실
195,은파요양병원구급차,전라북도 군산시 대학로 375 (나운동),군산시보건소,전라북도 군산시 대학로 375 (나운동),구급차(77보9988)
196,(주)탐해,전라북도 군산시 대학로 558 군산대학교 비아이센터 1110호 (미룡동),군산시보건소,전라북도 군산시 대학로 558 (미룡동),오션101호
197,(주)대경해양,전라북도 군산시 대학로 558 군산대학교 비아이센터 1117호 (미룡동),군산시보건소,전라북도 군산시 대학로 558 (미룡동),대경1호
198,군산대학교해양과학대학,전라북도 군산시 대학로 558 해양과학대학 1호관 행정실 (미룡동),군산시보건소,"전라북도 군산시 대학로 558, 군산대학교 (미룡동)",새해림호 선교
199,군산대학교해양과학대학,전라북도 군산시 대학로 558 해양과학대학 1호관 행정실 (미룡동),군산시보건소,"전라북도 군산시 대학로 558, 군산대학교 (미룡동)",새해림호 제1강의실
200,군산대학교해양과학대학,전라북도 군산시 대학로 558 해양과학대학 1호관 행정실 (미룡동),군산시보건소,전라북도 군산시 대학로 558 (미룡동),해림2호 강의실
201,군산대학교해양과학대학,전라북도 군산시 대학로 558 해양과학대학 1호관 행정실 (미룡동),군산시보건소,전라북도 군산시 대학로 558 (미룡동),해림호 메디컬룸
202,제209부일호,전라북도 군산시 도선길 19 (금동),군산시보건소,전라북도 군산시 도선길 19 (금동),209부일호 내
203,내흥7LH아파트,전라북도 군산시 돌끝로 52 (내흥동),군산시보건소,전라북도 군산시 돌끝로 52 (내흥동),경비실
204,내흥7LH아파트,전라북도 군산시 돌끝로 52 (내흥동),군산시보건소,전라북도 군산시 돌끝로 52 (내흥동),관리사무소 입구
205,제2명광호,"전라북도 군산시 동국사길 19 (금광동, 베르하임)",군산시보건소,군산시 내항2길,제2명광호 선장실
206,산북동주공아파트,"전라북도 군산시 동아로 145-1 (산북동, 산북주공아파트)",군산시보건소,"전라북도 군산시 동아로 145-1 (산북동, 산북주공아파트)",관리사무소 입구
207,소룡동동아아파트,"전라북도 군산시 동아로 160 (소룡동, 동아아파트)",군산시보건소,"전라북도 군산시 동아로 160 (소룡동, 동아아파트)",관리사무소 1층 내부
208,은파코아루아파트,전라북도 군산시 동지곡길 53,군산시보건소,전라북도 군산시 동지곡길 53,관리사무소 숙직실 내
209,제1유성호,"전라북도 군산시 동지곡길 53, 102동 1002호 (지곡동, 은파코아루아파트)",군산시보건소,"전라북도 군산시 동지곡길 53, 102동 1002호 (지곡동, 은파코아루아파트)",제1유성호 선장실
210,군산나운4,"전라북도 군산시 문화로 36 (나운동, 군산 나운 영구임대아파트)",군산시보건소,"전라북도 군산시 문화로 36 (나운동, 군산 나운 영구임대아파트)",402동 입구
211,군산나운4,"전라북도 군산시 문화로 36 (나운동, 군산 나운 영구임대아파트)",군산시보건소,"전라북도 군산시 문화로 36 (나운동, 군산 나운 영구임대아파트)",403동 입구
212,군산나운4,"전라북도 군산시 문화로 36 (나운동, 군산 나운 영구임대아파트)",군산시보건소,"전라북도 군산시 문화로 36 (나운동, 군산 나운 영구임대아파트)",406동 입구
213,군산나운4,"전라북도 군산시 문화로 36 (나운동, 군산 나운 영구임대아파트)",군산시보건소,"전라북도 군산시 문화로 36 (나운동, 군산 나운 영구임대아파트)",노인정
214,군산나운4,"전라북도 군산시 문화로 36 (나운동, 군산 나운 영구임대아파트)",군산시보건소,"전라북도 군산시 문화로 36 (나운동, 군산 나운 영구임대아파트)",관리동 입구
215,모세의료재단모세병원,전라북도 군산시 문화로 47 (수송동),군산시보건소,전라북도 군산시 문화로 47 (수송동),운용중인 구급차 내
216,군산미룡1,전라북도 군산시 미룡로 12,군산시보건소,"전라북도 군산시 미룡로 12 (미룡동, 군산미룡1주공아파트)",110동 앞 경비초소
217,군산미룡1,전라북도 군산시 미룡로 12,군산시보건소,전라북도 군산시 미룡로 12,관리동 2층 관리사무소 입구
218,미룡주공2차아파트,전라북도 군산시 미룡로 41,군산시보건소,전라북도 군산시 미룡로 41,관리사무실 입구 앞
219,미룡주공3단지아파트,전라북도 군산시 미룡로 42,군산시보건소,전라북도 군산시 미룡로 42,관리사무소 내
220,행운호,"전라북도 군산시 미룡로 63 104/506 (미룡동, 은파롯데캐슬 아파트)",군산시보건소,군산시 내항2길,행운호 선장실
221,제1001부선호,"전라북도 군산시 미룡로 63 104동 702호 (미룡동, 은파롯데캐슬 아파트)",군산시보건소,"전라북도 군산시 미룡로 63 104동 702호 (미룡동, 은파롯데캐슬 아파트)",1001부선호 내
222,제33창어호,"전라북도 군산시 미룡로 63 106동 804호 (미룡동, 은파롯데캐슬 아파트)",군산시보건소,"전라북도 군산시 미룡로 63 106동 804호 (미룡동, 은파롯데캐슬 아파트)",제33창어호 내
223,삼학주공아파트,전라북도 군산시 미원로 61,군산시보건소,전라북도 군산시 미원로 61,삼학주공아파트 101동 지하 관리사무소 내
224,제일풍경채아파트,"전라북도 군산시 미장13길 33 (미장동, 제일풍경채아파트)",군산시보건소,"전라북도 군산시 미장13길 33 (미장동, 제일풍경채아파트)",관리동 1층 현관 입구
225,미장아이파크아파트,전라북도 군산시 미장남로 10,군산시보건소,전라북도 군산시 미장남로 10,지하 1층 관리사무소 입구(107동 3~4라인에서 108동 1~2라인 중간)
226,미장대원칸타빌아파트,전라북도 군산시 미장남로 100 (미장동),군산시보건소,전라북도 군산시 미장남로 100 (미장동),관리사무실 출입구 오른편
227,군산미장2차아이파크,전라북도 군산시 미장안길 45 군산미장2차아이파크,군산시보건소,전라북도 군산시 미장안길 45 군산미장2차아이파크,관리사무소 1층 입구
228,누가병원,"전라북도 군산시 백릉로 70, 누가병원 (조촌동)",군산시보건소,"전라북도 군산시 백릉로 70, 누가병원 (조촌동)",3병동 간호사실
229,누가병원,"전라북도 군산시 백릉로 70, 누가병원 (조촌동)",군산시보건소,"전라북도 군산시 백릉로 70, 누가병원 (조촌동)",구급차
230,나운주공5단지아파트,전라북도 군산시 백토로 117,군산시보건소,전라북도 군산시 백토로 117,502동 출입구 경비실 옆
231,나운동신아파트,"전라북도 군산시 백토로 216 (나운동, 동신아파트)",군산시보건소,"전라북도 군산시 백토로 216 (나운동, 동신아파트)",관리사무소옆
